time,open,high,low,close,volume 
2020-12-07 17:56:00,123.61,123.61,123.58,123.58,1150
2020-12-07 17:55:00,123.61,123.61,123.61,123.61,822
2020-12-07 17:54:00,123.61,123.61,123.61,123.61,569
2020-12-07 17:53:00,123.6,123.61,123.6,123.61,489
2020-12-07 17:52:00,123.58,123.6,123.58,123.6,948
2020-12-07 17:51:00,123.6,123.6,123.57,123.57,1201
2020-12-07 17:50:00,123.58,123.58,123.58,123.58,934
2020-12-07 17:49:00,123.65,123.65,123.61,123.61,1161
2020-12-07 17:48:00,123.65,123.65,123.65,123.65,1133
2020-12-07 17:46:00,123.71,123.71,123.7,123.7,4844
2020-12-07 17:45:00,123.58,123.7,123.58,123.7,3747
2020-12-07 17:44:00,123.57,123.58,123.57,123.58,5458
